id,english,source_file
guide-entry-atmosphericnetworkmonitor,Atmospheric Network Monitor,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-fireandgascontrol,Fire and Gas Control,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-gasminingandstorage,Gas Mining and Storage,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-atmosphericupsets,Atmospheric Upsets,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-fires,Fires,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-spacing,Spacing,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-deltapressure,Delta Pressure,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-atmostools,Atmos Tools,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-gasses,Gasses,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-botany,Botany,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-shuttle-craft,Shuttle-craft,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-networking,Networking,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-access-configurator,Access Configurator,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-power,Power,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-inspectingpower,Inspecting Power,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-powerstorage,Power Storage,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-ramping,Ramping,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-voltagenetworks,Voltage Networks,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-generators,Generators,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-portable-generator,Portable Generators,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-ame,Antimatter Engine (AME),Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-singularityteslaengine,Singularity / Tesla,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-singularityengine,Singularity Engine,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-teslaengine,Tesla Engine,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-solarpanels,Solar Panels,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-teg,Thermo-electric Generator (TEG),Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rtg,RTG,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-jobs,Jobs,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-cargo-bounties,Cargo Bounties,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-salvage,Salvage,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-survival,Survival,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-janitorial,Janitorial,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-bartender,Bartender,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-chef,Chef,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-medical,Medical,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-medicaldoctor,Medical Doctor,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-chemist,Chemist,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-brute,Advanced Brute Medication,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-botanicals,Botanicals,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-cloning,Cloning,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-cryogenics,Cryogenics,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-technologies,Technologies,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-anomalous-research,Anomalous Research,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-scanners-and-vessels,Scanners and Vessels,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-ape,A.P.E.,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-xenoarchaeology,Xenoarchaeology,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-xenoarchaeologyunlockingnodes,Unlocking Nodes,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-analysisconsole,Analysis Console,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-artifact-reports,Artifact Reports,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-traversal-distorter,Traversal Distorter,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-machine-upgrading,Machine Upgrading,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-robotics,Robotics,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-cyborgs,Cyborgs,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-security,Security,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-forensics,Forensics,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-defusal,Large Bomb Defusal,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-criminal-records,Criminal Records,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-command,Command,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-service,Service,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-newplayer,New? Start here!,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-charactercreation,Creating Characters,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-species,Species,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-yourfirstcharacter,Your First Character,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-controls,Controls,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-radio,Radio and Speech,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-references,Tables & References,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-chemicals,Chemicals,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-drinks,Drinks,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-foodrecipes,Food Recipes,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-elements,Elements,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-medicine,Medicine,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-narcotics,Narcotics,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-pyrotechnics,Pyrotechnic,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-toxins,Toxins,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-foods,Foods,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-biological,Biological,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-botanical,Botanical,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-special,Special,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-others,Others,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-pizza-recipes,Pizzas,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-savory-recipes,Savory Foods,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-bread-recipes,Breads,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-breakfast-recipes,Breakfast Foods,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-moth-recipes,Moth Foods,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-pasta-recipes,Pastas & Noodles,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-dessert-recipes,Desserts & Pastries,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-soup-recipes,Soups & Stews,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-pie-recipes,Pies & Tarts,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-barsandcookies-recipes,Bars & Cookies,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-cake-recipes,Cakes,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-salad-recipes,Salads,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-medicinal-recipes,Medicinal,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-other-recipes,Other,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-secret-recipes,Secret,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-lawsets,Silicon Lawsets,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-antagonists,Antagonists,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-nuclear-operatives,Nuclear Operatives,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-traitors,Traitors,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-zombies,Zombies,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-revolutionaries,Revolutionaries,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-minor-antagonists,Minor Antagonists,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-space-ninja,Space Ninja,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-thieves,Thieves,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-wizard,Wizard,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-xenoborgs,Xenoborgs,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules,Server Rules,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-core-only,Core Only Ruleset,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-lrp,Standard Ruleset,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-mrp,MRP Ruleset,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-role-types,Role Types,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-core,Core Rules,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-c1,C1,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-c2,C2,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-c3,C3,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-c4,C4,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-c5,C5,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-c6,C6,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-c7,C7,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-c8,C8,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-c9,C9,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-c10,C10,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-c11,C11,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-c12,C12,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-c13,C13,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-c14,C14,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-roleplay,Roleplay Rules,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-r1,R1,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-r2,R2,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-r3,R3,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-r4,R4,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-r5,R5,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-r6,R6,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-r7,R7,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-r8,R8,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-r9,R9,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-r10,R10,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-r11,R11,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-r11-1,R11-1,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-r11-2,R11-2,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-r12,R12,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-r13,R13,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-r14,R14,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-r15,R15,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-silicon,Silicon Rules,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-s1,S1,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-s2,S2,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-s3,S3,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-s4,S4,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-s5,S5,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-s6,S6,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-s7,S7,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-s8,S8,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-s9,S9,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-s10,S10,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-space-law,Space Law,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-sl-crime-list,Crime List,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-sl-controlled-substances,Controlled Substances,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-sl-restricted-gear,Restricted Gear,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-sl-restricted-weapons,Restricted Weapons,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-ban-types,Ban Types,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-rules-ban-durations,Ban Durations,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-writing,Writing,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-glossary,Glossary,Resources/Locale/en-US/Guidebook/guides.ftl
guide-help-verb,Help,Resources/Locale/en-US/Guidebook/verb.ftl
guidebook-reagent-name,[bold][color={$color}]{CAPITALIZE($name)}[/color][/bold],Resources/Locale/en-US/Guidebook/chemistry/core.ftl
guidebook-reagent-recipes-header,Recipe,Resources/Locale/en-US/Guidebook/chemistry/core.ftl
guidebook-reagent-recipes-reagent-display,[bold]{$reagent}[/bold] \[{$ratio}\],Resources/Locale/en-US/Guidebook/chemistry/core.ftl
guidebook-reagent-sources-header,Sources,Resources/Locale/en-US/Guidebook/chemistry/core.ftl
guidebook-reagent-sources-ent-wrapper,[bold]{$name}[/bold] \[1\],Resources/Locale/en-US/Guidebook/chemistry/core.ftl
guidebook-reagent-sources-gas-wrapper,[bold]{$name} (gas)[/bold] \[1\],Resources/Locale/en-US/Guidebook/chemistry/core.ftl
guidebook-reagent-effects-header,Effects,Resources/Locale/en-US/Guidebook/chemistry/core.ftl
guidebook-reagent-effects-metabolism-group-rate,[bold]{$group}[/bold] [color=gray]({$rate} units per second)[/color],Resources/Locale/en-US/Guidebook/chemistry/core.ftl
guidebook-reagent-plant-metabolisms-header,Plant Metabolism,Resources/Locale/en-US/Guidebook/chemistry/core.ftl
guidebook-reagent-plant-metabolisms-rate,[bold]Plant Metabolism[/bold] [color=gray](1 unit every 3 seconds as base)[/color],Resources/Locale/en-US/Guidebook/chemistry/core.ftl
guidebook-reagent-physical-description,[italic]Seems to be {$description}.[/italic],Resources/Locale/en-US/Guidebook/chemistry/core.ftl
guidebook-reagent-recipes-mix-info,{$minTemp ->,Resources/Locale/en-US/Guidebook/chemistry/core.ftl
plant-attribute-growth,age,Resources/Locale/en-US/Guidebook/chemistry/plant-attributes.ftl
plant-attribute-water,water level,Resources/Locale/en-US/Guidebook/chemistry/plant-attributes.ftl
plant-attribute-potency,potency,Resources/Locale/en-US/Guidebook/chemistry/plant-attributes.ftl
plant-attribute-weeds,weeds level,Resources/Locale/en-US/Guidebook/chemistry/plant-attributes.ftl
plant-attribute-toxins,toxins level,Resources/Locale/en-US/Guidebook/chemistry/plant-attributes.ftl
plant-attribute-nutrition,nutrition level,Resources/Locale/en-US/Guidebook/chemistry/plant-attributes.ftl
plant-attribute-mutation-level,mutation level,Resources/Locale/en-US/Guidebook/chemistry/plant-attributes.ftl
plant-attribute-pests,pests level,Resources/Locale/en-US/Guidebook/chemistry/plant-attributes.ftl
plant-attribute-mutation-mod,mutation modifier,Resources/Locale/en-US/Guidebook/chemistry/plant-attributes.ftl
plant-attribute-health,health,Resources/Locale/en-US/Guidebook/chemistry/plant-attributes.ftl
entity-condition-guidebook-total-damage,,Resources/Locale/en-US/Guidebook/entity-effects/conditions.ftl
entity-condition-guidebook-type-damage,,Resources/Locale/en-US/Guidebook/entity-effects/conditions.ftl
entity-condition-guidebook-group-damage,,Resources/Locale/en-US/Guidebook/entity-effects/conditions.ftl
entity-condition-guidebook-total-hunger,,Resources/Locale/en-US/Guidebook/entity-effects/conditions.ftl
entity-condition-guidebook-reagent-threshold,,Resources/Locale/en-US/Guidebook/entity-effects/conditions.ftl
entity-condition-guidebook-mob-state-condition,,Resources/Locale/en-US/Guidebook/entity-effects/conditions.ftl
entity-condition-guidebook-job-condition,,Resources/Locale/en-US/Guidebook/entity-effects/conditions.ftl
entity-condition-guidebook-solution-temperature,,Resources/Locale/en-US/Guidebook/entity-effects/conditions.ftl
entity-condition-guidebook-body-temperature,,Resources/Locale/en-US/Guidebook/entity-effects/conditions.ftl
entity-condition-guidebook-organ-type,,Resources/Locale/en-US/Guidebook/entity-effects/conditions.ftl
entity-condition-guidebook-has-tag,,Resources/Locale/en-US/Guidebook/entity-effects/conditions.ftl
entity-condition-guidebook-this-reagent,this reagent,Resources/Locale/en-US/Guidebook/entity-effects/conditions.ftl
entity-condition-guidebook-breathing,,Resources/Locale/en-US/Guidebook/entity-effects/conditions.ftl
entity-condition-guidebook-internals,,Resources/Locale/en-US/Guidebook/entity-effects/conditions.ftl
entity-effect-status-effect-KnockedDown,knockdown,Resources/Locale/en-US/Guidebook/entity-effects/statuseffects.ftl
entity-effect-status-effect-Jitter,jittering,Resources/Locale/en-US/Guidebook/entity-effects/statuseffects.ftl
entity-effect-status-effect-TemporaryBlindness,blindness,Resources/Locale/en-US/Guidebook/entity-effects/statuseffects.ftl
entity-effect-status-effect-SeeingRainbows,hallucinations,Resources/Locale/en-US/Guidebook/entity-effects/statuseffects.ftl
entity-effect-status-effect-Muted,inability to speak,Resources/Locale/en-US/Guidebook/entity-effects/statuseffects.ftl
entity-effect-status-effect-Stutter,stuttering,Resources/Locale/en-US/Guidebook/entity-effects/statuseffects.ftl
entity-effect-status-effect-ForcedSleep,unconsciousness,Resources/Locale/en-US/Guidebook/entity-effects/statuseffects.ftl
entity-effect-status-effect-Drunk,drunkenness,Resources/Locale/en-US/Guidebook/entity-effects/statuseffects.ftl
entity-effect-status-effect-PressureImmunity,pressure immunity,Resources/Locale/en-US/Guidebook/entity-effects/statuseffects.ftl
entity-effect-status-effect-Pacified,combat pacification,Resources/Locale/en-US/Guidebook/entity-effects/statuseffects.ftl
entity-effect-status-effect-RatvarianLanguage,ratvarian language patterns,Resources/Locale/en-US/Guidebook/entity-effects/statuseffects.ftl
entity-effect-status-effect-StaminaModifier,modified stamina,Resources/Locale/en-US/Guidebook/entity-effects/statuseffects.ftl
entity-effect-status-effect-RadiationProtection,radiation protection,Resources/Locale/en-US/Guidebook/entity-effects/statuseffects.ftl
entity-effect-status-effect-Drowsiness,drowsiness,Resources/Locale/en-US/Guidebook/entity-effects/statuseffects.ftl
entity-effect-status-effect-Adrenaline,adrenaline,Resources/Locale/en-US/Guidebook/entity-effects/statuseffects.ftl
-create-3rd-person,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
-cause-3rd-person,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
-satiate-3rd-person,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-spawn-entity,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-destroy,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-break,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-explosion,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-emp,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-flash,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-foam-area,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-smoke-area,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-satiate-thirst,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-satiate-hunger,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-health-change,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-even-health-change,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-status-effect-old,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-status-effect,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-status-effect-indef,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-knockdown,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-set-solution-temperature-effect,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-adjust-solution-temperature-effect,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-adjust-reagent-reagent,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-adjust-reagent-group,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-adjust-temperature,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-chem-cause-disease,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-chem-cause-random-disease,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-jittering,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-clean-bloodstream,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-cure-disease,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-eye-damage,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-vomit,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-create-gas,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-drunk,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-electrocute,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-emote,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-extinguish-reaction,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
entity-effect-guidebook-flammable-reaction,,Resources/Locale/en-US/Guidebook/entity-effects/effects.ftl
